map,param,mean,std
map_3x3,goal_weight,1.455440,0.488238
map_3x3,pick_drop_ratio,-0.368236,0.456790
map_3x3,assign_pick_drop_ratio,1.629461,2.130175
map_3x3,congestion_weight,-1.111615,0.091184
map_3x3,step_tolerance,3.710524,0.022903
map_3x3,assign_spread_weight,1.388508,0.042484
map_paris,goal_weight,3.037867,1.043655
map_paris,pick_drop_ratio,-1.932787,2.827691
map_paris,assign_pick_drop_ratio,0.000368,0.000429
map_paris,congestion_weight,2.453444,1.327879
map_paris,step_tolerance,-2.142033,0.625278
map_paris,assign_spread_weight,-0.845199,1.730594
map_5x4,goal_weight,0.147906,0.644789
map_5x4,pick_drop_ratio,0.195093,0.350600
map_5x4,assign_pick_drop_ratio,0.001658,0.000089
map_5x4,congestion_weight,2.899122,0.406494
map_5x4,step_tolerance,0.071572,1.094891
map_5x4,assign_spread_weight,-0.723096,0.654049
map_kyodai,goal_weight,1.385094,0.659242
map_kyodai,pick_drop_ratio,0.072909,0.734777
map_kyodai,assign_pick_drop_ratio,0.001282,0.000163
map_kyodai,congestion_weight,1.082810,0.461692
map_kyodai,step_tolerance,-0.825882,0.641965
map_kyodai,assign_spread_weight,0.377322,1.776143
